,date,natural_resources_mining_all_employees,natural_resources_mining_avg_monthly_pay,natural_resources_mining_aggr_value,construction_all_employees,construction_avg_monthly_pay,construction_aggr_value,manufacturing_all_employees,manufacturing_avg_monthly_pay,manufacturing_aggr_value,trade_transportation_utilities_all_employees,trade_transportation_utilities_avg_monthly_pay,trade_transportation_utilities_aggr_value,information_all_employees,information_avg_monthly_pay,information_aggr_value,financial_activities_all_employees,financial_activities_avg_monthly_pay,financial_activities_aggr_value,professional_business_services_all_employees,professional_business_services_avg_monthly_pay,professional_business_services_aggr_value,education_health_services_all_employees,education_health_services_avg_monthly_pay,education_health_services_aggr_value,leisure_hospitality_all_employees,leisure_hospitality_avg_monthly_pay,leisure_hospitality_aggr_value,other_services_all_employees,other_services_avg_monthly_pay,other_services_aggr_value,unclassified_all_employees,unclassified_avg_monthly_pay,unclassified_aggr_value,total_industries_aggr_value
47,2011-01,81,3380,273780,3651,4936,18021336,8384,3744,31389696,55417,3388,187752796,7308,7832,57236256,37747,16516,623429452,27689,5904,163475856,27844,3032,84423008,14806,1624,24044944,4714,2244,10578216,1719,1792,3080448,1203705788
46,2011-02,89,3380,300820,3528,4936,17414208,8345,3744,31243680,55289,3388,187319132,7351,7832,57573032,37789,16516,624123124,27752,5904,163847808,28331,3032,85899592,14939,1624,24260936,4727,2244,10607388,1848,1792,3311616,1205901336
45,2011-03,80,3380,270400,3728,4936,18401408,8292,3744,31045248,55274,3388,187268312,7359,7832,57635688,37804,16516,624370864,27745,5904,163806480,28554,3032,86575728,15073,1624,24478552,4785,2244,10737540,1994,1792,3573248,1208163468
44,2011-04,92,3764,346288,3862,4888,18877456,8523,3668,31262364,55543,3512,195067016,7436,7612,56602832,37612,9412,354004144,27982,5604,156811128,28636,3144,90031584,15849,1664,26372736,5034,2296,11558064,984,1884,1853856,942787468
43,2011-05,89,3764,334996,3919,4888,19156072,8517,3668,31240356,55638,3512,195400656,7439,7612,56625668,37579,9412,353693548,27737,5604,155438148,28614,3144,89962416,16188,1664,26936832,5119,2296,11753224,1056,1884,1989504,942531420
42,2011-06,83,3764,312412,3961,4888,19361368,8574,3668,31449432,55786,3512,195920432,7493,7612,57036716,38008,9412,357731296,27832,5604,155970528,28553,3144,89770632,16105,1664,26798720,5133,2296,11785368,1146,1884,2159064,948295968
41,2011-07,99,3488,345312,4073,5204,21195892,8563,3644,31203572,55021,3636,200056356,7564,8284,62660176,38299,10096,386666704,28070,5616,157641120,27464,3324,91290336,15474,1748,27048552,5059,2396,12121364,1038,2028,2105064,992334448
40,2011-08,94,3488,327872,4179,5204,21747516,8640,3644,31484160,55042,3636,200132712,7211,8284,59735924,38392,10096,387605632,28379,5616,159376464,27294,3324,90725256,15808,1748,27632384,4931,2396,11814676,1106,2028,2242968,992825564
39,2011-09,83,3488,289504,4247,5204,22101388,8640,3644,31484160,55439,3636,201576204,7401,8284,61309884,37761,10096,381235056,28558,5616,160381728,28360,3324,94268640,16131,1748,28196988,5030,2396,12051880,1159,2028,2350452,995245884
38,2011-10,78,3780,294840,4339,5880,25513320,8621,3960,34139160,56026,3788,212226488,7307,6988,51061316,36244,9616,348522304,29847,6036,180156492,28487,3392,96627904,16075,1740,27970500,5133,2484,12750372,1228,2856,3507168,992769864
37,2011-11,76,3780,287280,4352,5880,25589760,8517,3960,33727320,57186,3788,216620568,7187,6988,50222756,36461,9616,350608976,30343,6036,183150348,28536,3392,96794112,16004,1740,27846960,5094,2484,12653496,1337,2856,3818472,1001320048
36,2011-12,86,3780,325080,4331,5880,25466280,8458,3960,33493680,57736,3788,218703968,7174,6988,50131912,36426,9616,350272416,30363,6036,183271068,28626,3392,97099392,15864,1740,27603360,5177,2484,12859668,1409,2856,4024104,1003250928
35,2012-01,86,4548,391128,4152,5296,21988992,8099,3908,31650892,56611,3640,206064040,6797,8012,54457564,36594,15572,569841768,29175,6320,184386000,27637,3208,88659496,15351,1780,27324780,5008,2304,11538432,1425,2252,3209100,1199512192
